"CD45RA","CD133","CD19","CD22","CD11b","CD4","CD8","CD34","Flt3","CD20","CXCR4","CD235ab","CD45","CD123","CD321","CD14","CD33","CD47","CD11c","CD7","CD15","CD16","CD44","CD38","CD13","CD3","CD61","CD117","CD49d","HLA-DR","CD64","CD41"
0.39445,0.06777,0.04654,0.07386,1.28213,0.16292,0.07212,0.17665,0.18068,0.02627,1.24081,0.36813,4.77798,1.04151,2.46306,0.1114,1.6322,2.92799,1.86503,0.05133,0.21011,0.11981,4.22814,2.96701,0.53948,0.30551,0.28144,0.02715,0.86172,3.40592,2.58568,0.34548
0.41485,0.04762,0.07136,0.05395,0.70643,0.13628,0.03302,0.266,0.19888,0.0419,1.10598,0.37565,4.6655,0.92722,2.17787,0.08197,1.42927,3.00136,1.95284,0.04541,0.20118,0.12071,4.30028,2.74442,0.71666,0.25053,0.19703,0.01642,0.9502,3.99721,1.89184,0.31891
0.42593,0.08959,0.09576,0.14226,0.47678,0.14264,0.05979,0.56245,0.33082,0.09372,1.14143,0.33867,4.58907,1.0853,2.35138,0.10734,0.77712,3.10231,1.9627,0.07699,0.21285,0.14811,4.00816,3.18458,0.7698,0.36666,0.28322,0.08602,1.28525,4.76902,1.1627,0.37249
0.69329,0.19072,1.2792,0.62177,0.2107,0.0431,0.04279,1.23701,0.35379,0.24632,1.61535,0.36571,3.72209,0.41994,2.6454,0.06879,0.54197,4.62745,0.61064,0.06398,0.4798,0.22377,3.82693,4.35521,0.81583,0.38829,0.16103,0.08498,1.91325,4.91064,0.13015,0.26185
0.43872,0.0643,1.73934,0.39918,0.13862,0.02046,0.02754,1.64681,0.13198,0.25049,1.49517,0.19071,3.45663,0.08029,2.20013,0.05659,0.29396,4.50019,0.16396,0.0337,0.12466,0.07003,2.40574,4.62045,0.54577,0.05906,0.06037,0.02105,1.06637,4.79895,0.10904,0.23655
0.35813,0.0228,1.52368,0.23675,0.07362,0.01967,0.01059,0.47167,0.10627,0.09923,1.23543,0.16837,3.30726,0.19647,2.02812,0.06786,0.25331,3.93345,0.12078,0.01872,0.0928,0.05405,2.04124,4.71002,0.64165,0.08175,0.08007,0.00326,0.86112,3.38874,0.09054,0.14439
0.45026,0.06534,1.77656,0.24185,0.08585,0.02793,0.0047,0.12618,0.14044,0.05656,1.27376,0.17922,3.69635,0.23411,1.95975,0.04614,0.19245,3.6589,0.16102,0.01302,0.16985,0.09554,2.17567,4.87282,0.61795,0.08643,0.10032,0.00954,0.85458,2.81939,0.09808,0.12083
0.47585,0.10576,1.74014,0.25706,0.14796,0.06164,0.03066,0.12755,0.18076,0.10131,1.28203,0.3117,4.30949,0.32831,1.7886,0.06236,0.20887,3.26945,0.26742,0.06285,0.30075,0.10576,2.42316,4.80833,0.59891,0.161,0.21559,0.01283,1.06901,2.71076,0.14393,0.19374
0.69031,0.10734,1.79914,0.26773,0.18327,0.08266,0.04775,0.12828,0.1931,0.4229,1.13458,0.35621,4.5715,0.48095,1.738,0.06067,0.14407,3.0546,0.29557,0.04812,0.30543,0.10657,2.37645,4.83108,0.50608,0.17974,0.23876,0.01529,1.21014,2.54033,0.13587,0.2164
0.87399,0.12187,1.81628,0.36687,0.19774,0.07725,0.04509,0.22553,0.16382,1.34023,0.94328,0.40327,4.88016,0.63329,1.70195,0.04516,0.13735,2.85385,0.2414,0.03801,0.24395,0.10249,2.20054,4.49364,0.45444,0.15147,0.17833,0,1.09442,1.96941,0.09659,0.16051
0.91481,0.23675,1.75518,1.00517,0.30394,0.10333,0.06,0.36423,0.22247,2.47661,0.99753,0.46683,5.32657,0.3429,1.26831,0.04582,0.12827,2.49414,0.21859,0.10301,0.32101,0.09941,2.71464,3.60167,0.36461,0.2626,0.2824,0.03104,1.11285,2.14678,0.2156,0.23988
0.93414,0.18933,2.09006,1.93042,0.31169,0.10781,0.12872,0.47796,0.33338,3.01299,1.01287,0.55414,5.37705,0.25412,1.27617,0.03481,0.13071,2.5489,0.27853,0.05696,0.28374,0.09946,3.24423,2.88132,0.25,0.24299,0.23471,0.03405,1.03074,3.45913,0.26412,0.25554
1.19332,0.2632,2.15977,2.29714,0.39675,0.13476,0.11983,0.5225,0.30965,2.91817,1.18093,0.62502,5.5186,0.24503,1.23675,0.06019,0.13832,2.69239,0.30338,0.06402,0.3882,0.15094,3.60965,2.39865,0.24823,0.31775,0.29261,0.05133,1.07916,4.2191,0.28956,0.35787
1.19636,0.23968,2.10756,2.49453,0.41454,0.12593,0.1019,0.33469,0.32131,1.82405,1.2041,0.64072,5.59964,0.20989,1.14764,0.06524,0.13322,2.64772,0.29507,0.06323,0.35146,0.13179,3.73662,1.42316,0.21457,0.28748,0.20849,0.03547,0.95003,4.40565,0.24736,0.33646
1.16463,0.23505,2.18051,2.53634,0.36668,0.1201,0.10891,0.30946,0.29397,1.52592,1.04189,0.6346,5.62024,0.19147,1.1371,0.03931,0.11117,2.66366,0.23989,0.05112,0.29825,0.10048,3.86497,0.88744,0.13887,0.29719,0.20637,0.02756,0.87179,4.2328,0.1894,0.3099
1.59213,0.18803,2.61608,2.51884,0.37112,0.1118,0.09134,0.27185,0.19408,1.60136,0.82347,0.69766,5.80621,0.15011,1.56777,0.02423,0.09766,2.84951,0.19406,0.02338,0.15726,0.0799,4.27221,0.51084,0.09417,0.23027,0.12949,0.01818,0.81975,4.25992,0.14943,0.1938
0.62214,0.22678,0.18401,0.22207,3.28819,0.36435,0.10668,0.22794,0.313,0.09554,0.49926,0.78865,5.72163,0.34679,2.93688,0.19443,0.40506,2.02313,3.28732,0.03163,0.25686,0.08758,4.97947,1.00451,0.68154,0.19499,0.50615,0.01668,0.71974,1.59075,1.93658,0.39748
0.58118,0.22283,0.13706,0.22677,2.98081,0.36041,0.12296,0.20548,0.21972,0.07975,0.60687,0.71091,5.64559,0.32069,2.90564,0.23987,0.53797,2.06087,2.85221,0.03954,0.24277,0.13765,4.83819,1.52535,0.77334,0.2634,0.60708,0.01222,0.98056,1.72126,2.24554,0.60704
0.53675,0.17728,0.14589,0.18018,2.79123,0.31505,0.09157,0.23359,0.27434,0.07495,0.57276,0.67852,5.55809,0.38956,2.8106,0.26996,0.57624,2.32835,2.63374,0.05045,0.33012,0.12434,4.7815,1.82768,0.80419,0.28582,0.66582,0.02475,1.09381,1.80573,2.41188,0.5664
0.53497,0.1699,0.15738,0.17378,2.72731,0.26016,0.09976,0.24619,0.21797,0.08596,0.73595,0.63917,5.46047,0.4147,2.88957,0.31858,0.95017,2.48359,2.34742,0.07197,0.35376,0.17852,4.74065,2.16478,0.86564,0.32047,0.6677,0.03162,1.13783,2.00626,2.65745,0.59865
0.50503,0.17214,0.14806,0.17134,2.47101,0.25862,0.10927,0.20298,0.2473,0.06498,0.73278,0.74146,5.4401,0.51351,2.81817,0.26468,0.80373,2.3304,2.21297,0.06153,0.37384,0.18717,4.6169,2.46049,0.78659,0.37864,0.6921,0.0429,1.31507,2.26728,2.76299,0.68273
0.46272,0.1234,0.13438,0.12083,2.30013,0.23899,0.10455,0.21897,0.24293,0.07623,0.83961,0.5446,5.29819,0.5937,2.73751,0.21101,0.85262,2.42334,2.02496,0.06726,0.34885,0.16587,4.4084,2.53981,0.71361,0.37544,0.54006,0.04078,1.23799,2.48716,2.92549,0.52723
0.44391,0.10777,0.10734,0.12584,1.88878,0.19196,0.07557,0.17854,0.29196,0.06593,0.865,0.53687,5.12206,0.71919,2.54768,0.1446,0.87358,2.5188,1.88261,0.06482,0.31882,0.12815,4.26121,2.54372,0.56716,0.3646,0.46867,0.03066,1.2139,2.69585,2.91482,0.43478
0.38062,0.07124,0.09294,0.07165,1.61838,0.15614,0.05944,0.14474,0.15854,0.05356,0.79253,0.47659,4.91062,0.65093,2.40742,0.11943,1.24315,2.73264,1.84071,0.04962,0.29864,0.1392,4.19579,2.45712,0.57235,0.28477,0.37209,0.02769,1.12113,2.98791,2.67193,0.39313
0.35686,0.09863,0.07406,0.05937,1.14537,0.13425,0.07228,0.1667,0.1492,0.03182,0.80735,0.38475,4.70727,0.66131,2.1875,0.14559,0.97894,2.64692,1.79501,0.04888,0.27526,0.14079,4.04881,2.4901,0.52249,0.31108,0.43948,0.03785,1.1129,3.43891,2.42937,0.41963
0.36337,0.10889,0.06959,0.05156,0.69542,0.13052,0.07681,0.24726,0.15995,0.01433,0.79321,0.38883,4.61064,0.75868,2.22905,0.05944,0.99338,2.73984,1.73875,0.07631,0.1792,0.11733,4.05634,2.70481,0.68596,0.29715,0.24099,0.01813,0.93343,3.84378,1.74102,0.32037
0.33091,0.09088,0.03274,0.06109,0.05589,0.11569,0.06474,1.883,0.28887,0.03553,1.2491,0.13474,3.76031,0.70902,2.6325,0.06313,1.90845,3.33707,0.69158,0.08717,0.17394,0.11659,4.45045,3.52889,0.73044,0.09989,0.06616,0.39139,0.82031,5.22553,0.2836,0.15624
0.28926,0.12269,0.45752,0.24712,0.1011,0.0104,0.03612,2.17586,0.14319,0.13638,1.32879,0.19647,3.15095,0.38923,2.24018,0.02343,0.95387,3.89665,0.23736,0.0335,0.24403,0.06744,3.64004,3.98947,0.96982,0.08775,0.1011,0.36291,1.17171,5.10188,0.12227,0.25446
0.42687,0.07756,0.79454,0.38297,0.11378,0.06163,0.05072,2.63428,0.17147,0.09748,1.14404,0.20132,3.30774,0.1812,2.34933,0.04543,0.29119,4.42159,0.23428,0.03097,0.21525,0.06891,2.70597,4.41817,0.68694,0.08639,0.11777,0.05734,1.0582,4.36203,0.09789,0.16755
0.37054,0.04258,1.26013,0.21806,0.07975,0.0198,0.03011,2.37731,0.14757,0.03932,1.03231,0.14753,3.10294,0.11473,2.25343,0.04463,0.26344,4.293,0.16688,0.03206,0.16417,0.07005,2.01362,4.58907,0.53657,0.05137,0.11419,0.00467,0.96728,3.00427,0.0904,0.10747
